year	id	name	nameEn	alertDate	level	path	minhPa	maxMS	force7km	force10km	numAlert
2003	0319	米勒	MELOR	11/02～11/03	輕度	8	975.0	25.0	150	null	15
2003	0313	杜鵑	DUJUAN	08/31～09/02	中度	5	950.0	43.0	250	100	19
2003	0312	科羅旺	KROVANH	08/22～08/23	中度	null	970.0	33.0	250	100	11
2003	0311	梵高	VAMCO	08/19～08/20	輕度	null	998.0	18.0	100	null	9
2003	0309	莫拉克	MORAKOT	08/02～08/04	輕度	4	990.0	23.0	100	null	19
2003	0307	尹布都	IMBUDO	07/21～07/23	中度	null	935.0	48.0	300	120	15
2003	0306	蘇迪勒	SOUDELOR	06/16～06/18	中度	null	960.0	38.0	200	50	18
2003	0305	南卡	NANGKA	06/01～06/03	輕度	null	990.0	23.0	100	null	11
2003	0302	柯吉拉	KUJIRA	04/21～04/24	中度	null	925.0	43.0	250	100	30
2002	0216	辛樂克	SINLAKU	09/04～09/08	中度	1	950.0	40.0	300	100	33
2002	0208	娜克莉	NAKRI	07/09～07/10	輕度	9	987.0	18.0	80	null	15
2002	0205	雷馬遜	RAMMASUN	07/02～07/04	中度	null	950.0	45.0	300	100	18
2001	0121	海燕	HAIYAN	10/15～10/16	中度	null	965.0	35.0	250	100	14
2001	0119	利奇馬	LEKIMA	09/23～09/28	中度	4	965.0	35.0	180	50	37
2001	0116	納莉	NARI	09/08～09/10	中度	 特殊路徑	960.0	40.0	150	50	12
2001	0116	納莉	NARI	09/13～09/19	中度	 特殊路徑	960.0	40.0	150	50	52
2001	0108	桃芝	TORAJI	07/28～07/31	中度	3	962.0	38.0	250	100	28
2001	0107	玉兔	YUTU	07/23～07/24	輕度	null	962.0	30.0	150	null	8
2001	0105	潭美	TRAMI	07/10～07/11	輕度	4	995.0	20.0	80	null	13
2001	0104	尤特	UTOR	07/03～07/05	中度	5	960.0	38.0	350	120	20
2001	0102	奇比	CHEBI	06/22～06/24	中度	7	965.0	35.0	200	80	19
2001	0101	西馬隆	CIMARON	05/11～05/13	輕度	8	990.0	23.0	150	null	20
2000	0021	貝碧佳	BEBINCA	11/06～11/07	輕度	null	970.0	28.0	200	null	9
2000	0020	象神	XANGSANE	10/30～11/01	中度	6	960.0	38.0	250	100	17
2000	0019	雅吉	YAGI	10/23～10/26	中度	null	970.0	33.0	180	50	21
2000	0015	寶發	BOPHA	09/08～09/10	輕度	 特殊路徑	990.0	23.0	180	null	17
2000	0012	巴比侖	PRAPIROON	08/27～08/30	輕度	6	965.0	33.0	250	null	23
2000	0010	碧利斯	BILIS	08/21～08/23	強烈	3	930.0	53.0	300	120	21
2000	0004	啟德	KAI-TAK	07/06～07/10	中度	6	965.0	35.0	150	50	30
1999	9920	丹恩	DAN	10/04～10/09	中度	7	968.0	38.0	250	80	43
1999	9911	山姆	SAM	08/19～08/21	輕度	null	970.0	30.0	200	null	18
1999	9906	瑪姬	MAGGIE	06/04～06/06	中度	5	965.0	38.0	250	100	20
1998	9812	芭比絲	BABS	10/25～10/27	中度	9	950.0	35.0	250	100	18
1998	9810	瑞伯	ZEB	10/13～10/17	強烈	6	920.0	55.0	350	150	30
1998	9809	楊妮	YANNI	09/27～09/29	輕度	6	975.0	25.0	100	null	14
1998	9802	奧托	OTTO	08/03～08/05	輕度	3	985.0	30.0	150	null	17
1998	9801	妮蔻兒	NICHOLE	07/09～07/10	輕度	9	998.0	18.0	100	null	10
1997	9726	艾文	IVAN	10/19～10/21	強烈	null	905.0	55.0	250	100	16
1997	9719	卡絲	CASS	08/29～08/30	輕度	null	995.0	20.0	100	null	8
1997	9717	安珀	AMBER	08/27～08/30	中度	3	945.0	48.0	250	100	23
1997	9714	溫妮	WINNIE	08/16～08/19	中度	1	945.0	43.0	300	100	21
1996	9623	薩恩	ZANE	09/27～09/28	中度	null	955.0	43.0	200	80	11
1996	9620	魏萊特	VIOLET	09/15～09/16	強烈	null	940.0	51.0	300	120	9
1996	9618	莎莉	SALLY	09/07～09/08	中度	null	950.0	48.0	250	80	12
1996	9612	麗莎	LISA	08/06～08/07	輕度	null	993.0	20.0	100	null	6
1996	9608	賀伯	HERB	07/29～08/01	強烈	2	920.0	53.0	350	150	29
1996	9607	葛樂禮	GLORIA	07/24～07/27	中度	7	965.0	35.0	250	80	26
1996	9603	凱姆	CAM	05/20～05/23	輕度	8	995.0	20.0	150	null	24
1995	9515	賴恩	RYAN	09/20～09/23	中度	8	955.0	45.0	300	100	23
1995	9509	肯特	KENT	08/27～08/31	中度	5	955.0	45.0	200	100	32
1995	9508	珍妮絲	JANIS	08/23～08/24	輕度	null	990.0	23.0	120	null	10
1995	9506	海倫	HELEN	08/09～08/11	輕度	null	980.0	23.0	120	null	15
1995	9505	蓋瑞	GARY	07/31～07/31	輕度	7	980.0	28.0	150	null	7
1995	9502	荻安娜	DEANNA	06/04～06/08	輕度	9	995.0	20.0	120	null	33
1994	9427	席斯	SETH	10/07～10/11	強烈	6	925.0	51.0	350	150	30
1994	9416	葛拉絲	GLADYS	08/31～09/02	中度	2	970.0	35.0	200	100	18
1994	9415	弗雷特	FRED	08/19～08/22	強烈	1	935.0	55.0	350	150	26
1994	9413	道格	DOUG	08/06～08/09	強烈	6	930.0	58.0	350	150	24
1994	9412	凱特琳	CAITLIN	08/03～08/04	輕度	3	987.0	25.0	120	null	12
1994	9405	提姆	TIM	07/09～07/11	強烈	3	945.0	53.0	250	120	10
1993	9316	亞伯	ABE	09/10～09/14	中度	5	950.0	43.0	150	50	15
1993	9314	楊希	YANCY	08/31～09/02	強烈	null	935.0	51.0	250	120	8
1993	9311	塔莎	TASHA	08/17～08/19	輕度	null	975.0	25.0	200	null	8
1992	9219	泰德	TED	09/20～09/23	輕度	6	985.0	30.0	200	50	14
1992	9216	寶莉	POLLY	08/27～08/31	輕度	3	975.0	23.0	200	null	17
1992	9215	歐馬	OMAR	09/03～09/05	中度	3	945.0	40.0	200	100	11
1992	9213	馬克	MARK	08/16～08/19	輕度	null	988.0	20.0	100	null	13
1992	9202	芭比	BOBBIE	06/26～06/28	中度	null	948.0	48.0	200	100	10
1991	9124	席斯	SETH	11/12～11/14	中度	null	920.0	33.0	250	100	8
1991	9123	露絲	RUTH	10/26～10/30	強烈	null	910.0	58.0	350	150	17
1991	9120	耐特	NAT	09/30～10/02	輕度	 特殊路徑	935.0	30.0	150	50	20
1991	9120	耐特	NAT	09/22～09/24	強烈	 特殊路徑	945.0	51.0	200	80	20
1991	9119	密瑞兒	MIREILLE	09/25～09/27	強烈	null	925.0	53.0	300	150	9
1991	9111	愛麗	ELLIE	08/16～08/18	中度	2	965.0	33.0	150	50	12
1991	9108	布籃登	BRENDAN	07/22～07/23	中度	null	978.0	33.0	250	100	6
1991	9107	艾美	AMY	07/17～07/19	強烈	5	950.0	51.0	300	180	10
1990	9018	艾德	ED	09/14～09/15	中度	null	960.0	33.0	200	50	6
1990	9017	黛特	DOT	09/06～09/08	中度	3	960.0	38.0	350	100	11
1990	9015	蓓琪	BECKY	08/26～08/27	輕度	null	970.0	30.0	250	80	6
1990	9014	亞伯	ABE	08/29～08/31	中度	1	955.0	45.0	250	120	9
1990	9012	楊希	YANCY	08/17～08/20	中度	2	960.0	40.0	200	100	14
1990	9007	蘿繽	ROBYN	07/09～07/10	輕度	null	990.0	20.0	150	null	7
1990	9006	波西	PERCY	06/26～06/30	強烈	null	950.0	51.0	250	120	16
1990	9005	歐菲莉	OFELIA	06/21～06/24	中度	6	968.0	38.0	200	100	13
1990	9003	瑪麗安	MARIAN	05/18～05/19	中度	9	960.0	40.0	250	100	6
1989	8923	安吉菈	ANGELA	10/05～10/07	強烈	null	930.0	67.0	250	120	9
1989	8921	薇拉	VERA	09/14～09/15	輕度	null	985.0	25.0	200	null	6
1989	8919	莎拉	SARAH	09/08～09/13	強烈	3	952.0	51.0	300	150	23
1989	8913	羅拉	LOLA	07/31～08/03	輕度	null	980.0	28.0	250	null	11
1989	8908	戈登	GORDON	07/15～07/17	強烈	null	920.0	65.0	300	150	11
1989	8903	白蘭黛	BRENDA	05/18～05/20	中度	null	970.0	35.0	200	80	9
1988	8822	魯碧	RUBY	10/25～10/27	中度	null	916.0	48.0	300	150	8
1988	8821	派特	PAT	10/19～10/21	中度	null	968.0	38.0	200	50	8
1988	8820	歐黛莎	ODESSA	10/12～10/14	輕度	null	954.0	25.0	150	null	7
1988	8819	尼爾森	NELSON	10/03～10/06	強烈	null	898.0	63.0	300	120	10
1988	8817	李尹	LEE	09/23～09/24	輕度	null	984.0	28.0	150	50	5
1988	8816	克蒂	KIT	09/21～09/22	輕度	null	984.0	28.0	150	50	5
1988	8805	華倫	WARREN	07/17～07/19	強烈	null	927.0	55.0	250	120	11
1988	8802	蘇珊	SUSAN	05/31～06/02	中度	9	963.0	40.0	150	50	9
1987	8720	琳恩	LYNN	10/22～10/27	強烈	5	898.0	53.0	400	150	20
1987	8714	傑魯得	GERALD	09/07～09/11	強烈	5	937.0	51.0	300	150	15
1987	8711	黛納	DINAH	08/27～08/30	強烈	null	910.0	62.0	400	200	12
1987	8710	凱瑞	CARY	08/15～08/19	中度	null	968.0	38.0	200	80	16
1987	8708	亞力士	ALEX	07/25～07/27	中度	6	976.0	35.0	250	100	10
1987	8706	費南	VERNON	07/19～07/22	中度	6	981.0	33.0	200	120	11
1987	8705	賽洛瑪	THELMA	07/11～07/15	強烈	null	991.0	60.0	350	150	16
1986	8617	艾倫	ELLEN	10/14～10/17	中度	null	970.0	40.0	250	80	14
1986	8613	艾貝	ABBY	09/16～09/20	強烈	3	943.0	51.0	400	200	18
1986	8612	韋恩	WAYNE	08/28～09/03	中度	 特殊路徑	951.0	40.0	150	50	26
1986	8612	韋恩	WAYNE	08/24～08/25	輕度	 特殊路徑	951.0	28.0	120	null	4
1986	8612	韋恩	WAYNE	08/20～08/23	中度	 特殊路徑	951.0	38.0	200	100	12
1986	8611	薇拉	VERA	08/25～08/27	中度	null	923.0	45.0	400	200	10
1986	8609	莎拉	SARAH	08/01～08/03	輕度	null	986.0	23.0	150	20	9
1986	8607	佩姬	PEGGY	07/07～07/11	強烈	5	900.0	70.0	400	200	18
1986	8605	南施	NANCY	06/22～06/24	中度	6	955.0	38.0	200	50	9
1985	8519	白蘭黛	BRENDA	10/02～10/05	中度	6	964.0	45.0	300	150	11
1985	8516	衛奧	VAL	09/15～09/17	輕度	5	992.0	25.0	150	null	11
1985	8515	蒂絲	TESS	09/03～09/05	中度	null	967.0	33.0	200	50	7
1985	8512	派特	PAT	08/27～08/30	中度	null	961.0	35.0	250	100	12
1985	8510	尼爾森	NELSON	08/20～08/24	中度	1	961.0	48.0	300	120	15
1985	8506	傑夫	JEFF	07/28～07/30	中度	1	967.0	35.0	200	80	11
1985	8504	海爾	HAL	06/21～06/24	中度	5	955.0	48.0	350	250	12
1984	8425	比爾	BILL	11/17～11/18	強烈	null	910.0	51.0	200	100	6
1984	8412	裘恩	JUNE	08/28～08/31	輕度	5	983.0	32.0	250	null	11
1984	8410	郝麗	HOLLY	08/17～08/19	中度	6	964.0	35.0	350	200	10
1984	8409	傑魯得	GERALD	08/16～08/19	輕度	null	985.0	28.0	180	null	12
1984	8408	芙瑞達	FREDA	08/06～08/08	輕度	2	982.0	25.0	200	null	8
1984	8403	亞力士	ALEX	07/02～07/04	中度	6	980.0	35.0	150	80	8
1984	8402	魏恩	WYNNE	06/21～06/24	輕度	4	982.0	28.0	150	null	13
1983	8310	佛瑞特	FORREST	09/23～09/27	強烈	null	883.0	65.0	400	200	14
1983	8309	艾倫	ELLEN	09/05～09/08	強烈	5	928.0	63.0	250	120	11
1983	8305	艾貝	ABBY	08/08～08/13	強烈	null	888.0	67.0	400	200	15
1983	8304	韋恩	WAYNE	07/23～07/25	強烈	5	920.0	63.0	250	120	10
1982	8223	南施	NANCY	10/14～10/15	強烈	null	933.0	58.0	200	80	6
1982	8220	肯恩	KEN	09/18～09/22	強烈	null	936.0	55.0	250	120	18
1982	8215	費依	FAYE	08/26～08/27	輕度	null	961.0	25.0	100	null	6
1982	8213	黛特	DOT	08/13～08/15	中度	4	966.0	33.0	200	100	11
1982	8212	西仕	CECIL	08/06～08/10	強烈	6	920.0	55.0	220	140	20
1982	8210	安迪	ANDY	07/26～07/30	強烈	4	915.0	60.0	300	100	16
1982	8207	蒂絲	TESS	07/01～07/02	輕度	null	990.0	18.0	100	null	4
1981	8125	伊瑪	IRMA	11/25～11/26	輕度	null	902.0	28.0	200	null	7
1981	8123	蓋依	GAY	10/20～10/21	中度	null	947.0	45.0	300	100	4
1981	8119	葛萊拉	CLARA	09/19～09/22	強烈	5	945.0	58.0	250	100	12
1981	8117	艾妮絲	AGNES	08/29～08/31	中度	1	945.0	47.0	300	120	9
1981	8108	莫瑞	MAURY	07/18～07/20	輕度	1	982.0	30.0	180	30	8
1981	8105	裘恩	JUNE	06/18～06/21	中度	6	963.0	38.0	250	60	12
1981	8104	艾克	IKE	06/12～06/14	輕度	9	965.0	30.0	150	30	8
1980	8021	貝蒂	BETTY	11/06～11/07	輕度	null	915.0	23.0	150	null	5
1980	8019	魏恩	WYNNE	10/10～10/13	強烈	null	890.0	65.0	300	100	11
1980	8014	珀西	PERCY	09/15～09/19	強烈	4	915.0	60.0	250	100	15
1980	8012	諾瑞斯	NORRIS	08/26～08/28	中度	2	945.0	43.0	250	60	9
1980	8009	開梅	KIM	07/25～07/27	中度	null	908.0	45.0	250	100	10
1980	8007	艾達	IDA	07/08～07/11	輕度	5	980.0	30.0	200	40	13
1980	8005	喬琪亞	GEORGIA	05/23～05/25	輕度	null	985.0	28.0	150	50	7
